Batch_Size,Time_In_SECONDS
1,0.0003091394901275635
2,0.00048547983169555664
3,0.0005858540534973145
4,0.0007188320159912109
5,0.0008476674556732178
6,0.001269996166229248
7,0.0014242827892303467
8,0.0015036165714263916
9,0.0016590356826782227
10,0.0018396973609924316
11,0.0019028186798095703
12,0.0020865201950073242
13,0.0021348297595977783
14,0.0023214221000671387
15,0.0023647844791412354
16,0.0025402307510375977
17,0.0027385950088500977
18,0.0028494596481323242
19,0.0029687881469726562
20,0.0031253695487976074
21,0.0032640695571899414
22,0.0034151971340179443
23,0.003523886203765869
24,0.003630220890045166
25,0.0037025511264801025
26,0.003916352987289429
27,0.003966003656387329
28,0.004257708787918091
29,0.004376649856567383
30,0.0045088231563568115
31,0.004645794630050659
32,0.004794776439666748
33,0.004904419183731079
34,0.004938870668411255
35,0.005116939544677734
36,0.005221515893936157
37,0.005322366952896118
38,0.005395650863647461
39,0.0056490302085876465
40,0.005579501390457153
41,0.005829423666000366
42,0.006048321723937988
43,0.006044119596481323
44,0.006228774785995483
45,0.006372660398483276
46,0.006618678569793701
47,0.006555795669555664
48,0.006781280040740967
49,0.006994128227233887
50,0.007155776023864746
51,0.0071076154708862305
52,0.0072390735149383545
53,0.007473975419998169
54,0.007504671812057495
55,0.007699519395828247
56,0.007753521203994751
57,0.007945239543914795
58,0.007980495691299438
59,0.008142620325088501
60,0.008332043886184692
61,0.008436113595962524
62,0.008665621280670166
63,0.008715689182281494
64,0.008911669254302979
65,0.008965641260147095
66,0.009032279253005981
67,0.009155452251434326
68,0.009369343519210815
69,0.009597629308700562
70,0.009497344493865967
71,0.009761333465576172
72,0.009861201047897339
73,0.010113924741744995
74,0.010076284408569336
75,0.01026904582977295
76,0.010463953018188477
77,0.010613441467285156
78,0.010791361331939697
79,0.010941147804260254
80,0.011152297258377075
81,0.011211574077606201
82,0.011223524808883667
83,0.011397033929824829
84,0.011467784643173218
85,0.01152697205543518
86,0.011932849884033203
87,0.012107312679290771
88,0.011961132287979126
89,0.012212634086608887
90,0.012206017971038818
91,0.012516200542449951
92,0.012688130140304565
93,0.012717366218566895
94,0.013160288333892822
95,0.01302480697631836
96,0.013209283351898193
97,0.013460785150527954
98,0.013238638639450073
99,0.013383448123931885
100,0.013778269290924072
101,0.013847887516021729
102,0.013929814100265503
103,0.014146536588668823
104,0.014340072870254517
105,0.014235883951187134
106,0.014527440071105957
107,0.014502614736557007
108,0.014647722244262695
109,0.014663726091384888
110,0.015072911977767944
111,0.015352398157119751
112,0.015268146991729736
113,0.015527099370956421
114,0.015661388635635376
115,0.015440434217453003
116,0.015593677759170532
117,0.01587092876434326
118,0.016247570514678955
119,0.016094833612442017
120,0.016296744346618652
121,0.01645568013191223
122,0.016523361206054688
123,0.016529977321624756
124,0.016884148120880127
125,0.0169619619846344
126,0.01708844304084778
127,0.017295777797698975
128,0.017399191856384277
129,0.017474114894866943
130,0.017593353986740112
131,0.017804384231567383
132,0.01796862483024597
133,0.017952710390090942
134,0.01810741424560547
135,0.018328547477722168
136,0.018512815237045288
137,0.018464326858520508
138,0.018589913845062256
139,0.01873600482940674
140,0.018859565258026123
141,0.019144207239151
142,0.019225895404815674
143,0.019064724445343018
144,0.019299209117889404
145,0.01917928457260132
146,0.01973465085029602
147,0.019622355699539185
148,0.019730865955352783
149,0.019916683435440063
150,0.019984275102615356
151,0.02025541663169861
152,0.020503968000411987
153,0.02063661813735962
154,0.020584672689437866
155,0.02070695161819458
156,0.02081802487373352
157,0.020619750022888184
158,0.020984888076782227
159,0.021103203296661377
160,0.021352648735046387
161,0.02125769853591919
162,0.021639496088027954
163,0.021665602922439575
164,0.02176809310913086
165,0.02207919955253601
166,0.02212253212928772
167,0.02207377552986145
168,0.022440195083618164
169,0.022561311721801758
170,0.022847473621368408
171,0.022878557443618774
172,0.023012548685073853
173,0.023070156574249268
174,0.023193657398223877
175,0.02331945300102234
176,0.023679107427597046
177,0.02378314733505249
178,0.0238666832447052
179,0.02390030026435852
180,0.02411419153213501
181,0.024254679679870605
182,0.02404320240020752
183,0.02463167905807495
184,0.024864763021469116
185,0.02474808692932129
186,0.024746358394622803
187,0.024951547384262085
188,0.024990379810333252
189,0.025224626064300537
190,0.02534949779510498
191,0.0254916250705719
192,0.02541220188140869
193,0.025792568922042847
194,0.026110678911209106
195,0.026064932346343994
196,0.026108473539352417
197,0.02626138925552368
198,0.02642720937728882
199,0.02681395411491394
200,0.02685031294822693
201,0.02685806155204773
202,0.027150988578796387
203,0.027034133672714233
204,0.02723139524459839
205,0.027566254138946533
206,0.02745649218559265
207,0.027684062719345093
208,0.02789446711540222
209,0.02765032649040222
210,0.027785003185272217
211,0.02808120846748352
212,0.028361976146697998
213,0.028243213891983032
214,0.02861189842224121
215,0.028793752193450928
216,0.028627902269363403
217,0.0289478600025177
218,0.028991639614105225
219,0.0291750431060791
220,0.029035359621047974
221,0.029153436422348022
222,0.029316186904907227
223,0.029505282640457153
224,0.029539883136749268
225,0.029619991779327393
226,0.029851257801055908
227,0.029879271984100342
228,0.030052006244659424
229,0.030121833086013794
230,0.03037908673286438
231,0.0308438241481781
232,0.030700206756591797
233,0.031008154153823853
234,0.030824631452560425
235,0.03129228949546814
236,0.03125748038291931
237,0.03139704465866089
238,0.03160989284515381
239,0.03159135580062866
240,0.03194630146026611
241,0.03182247281074524
242,0.03213924169540405
243,0.03238576650619507
244,0.0322110652923584
245,0.03243672847747803
246,0.03289404511451721
247,0.03280842304229736
248,0.03281670808792114
249,0.03276929259300232
250,0.03308942914009094
