batch_size,peak,persistent
1.0,40.31659872066089,14.948965253618516
2.0,61.48104372593882,15.532322771411247
3.0,82.64541195509156,16.11564698139385
4.0,103.8097034081191,16.698937883566334
5.0,124.97391808502147,17.282195477928695
6.0,146.13805598579864,17.86541976448093
7.0,167.3021171104506,18.44861074322304
8.0,188.4661014589774,19.031768414155028
9.0,209.630009031379,19.614892777276893
10.0,230.79383982765538,20.19798383258863
11.0,251.9575938478066,20.781041580090246
12.0,273.1212710918326,21.36406601978174
13.0,294.28487155973346,21.94705715166311
14.0,315.4483952515091,22.530014975734353
15.0,336.6118421671595,23.112939491995476
16.0,357.2509765625,23.404296875
17.0,378.9385056700849,24.278688601087346
18.0,400.10172225735977,24.861513193918096
19.0,421.2648620685094,25.444304478938726
20.0,442.42792510353394,26.027062456149224
21.0,463.59091136243325,26.609787125549605
22.0,484.7538208452074,27.19247848713986
23.0,505.91665355185626,27.775136540919995
24.0,527.07940948238,28.35776128689
25.0,548.2420886367786,28.940352725049884
26.0,569.404691015052,29.522910855399644
27.0,590.5672166172001,30.10543567793928
28.0,611.729665443223,30.687927192668795
29.0,632.8920374931208,31.270385399588182
30.0,654.0543327668934,31.85281029869745
31.0,675.2165512645407,32.43520188999659
32.0,700.140625,33.32080078125
33.0,717.54075793146,33.5998851491645
34.0,738.7027461007319,34.182176817033266
35.0,759.8646574938784,34.76443517709191
36.0,781.0264921108999,35.34666022934044
37.0,802.1882499517963,35.92885197377883
38.0,823.3499310165672,36.51101041040711
39.0,844.5115353052131,37.093135539225266
40.0,865.6730628177338,37.67522736023329
41.0,886.8345135541293,38.2572858734312
42.0,907.9958875143997,38.83931107881898
43.0,929.1571846985447,39.42130297639663
44.0,950.3184051065646,40.00326156616417
45.0,971.4795487384594,40.58518684812158
46.0,992.6406155942288,41.16707882226886
47.0,1013.8016056738732,41.748937488606025
48.0,1029.7470703125,42.3388671875
49.0,1056.1233555047863,42.91255489784997
50.0,1077.2841152560552,43.494313640756765
