Batch_Size,Time_In_SECONDS
1,0.00022116303443908691
2,0.00033274292945861816
3,0.0004120171070098877
4,0.0004892945289611816
5,0.0005660653114318848
6,0.000643312931060791
7,0.0007228255271911621
8,0.0008015930652618408
9,0.00087699294090271
10,0.0009567141532897949
11,0.0010347962379455566
12,0.0011085271835327148
13,0.0011852383613586426
14,0.001261204481124878
15,0.001340240240097046
16,0.0014148950576782227
17,0.0014946162700653076
18,0.0015716850757598877
19,0.0016481280326843262
20,0.0017249882221221924
21,0.0018034875392913818
22,0.002188950777053833
23,0.002264261245727539
24,0.0023446381092071533
25,0.002431124448776245
26,0.002511948347091675
27,0.0025896430015563965
28,0.0026827454566955566
29,0.002753615379333496
30,0.002829939126968384
31,0.002910822629928589
32,0.0029950737953186035
33,0.0030723214149475098
34,0.003148972988128662
35,0.0032387077808380127
36,0.003315538167953491
37,0.0033954977989196777
38,0.003478020429611206
39,0.0035627782344818115
40,0.003645002841949463
41,0.0037232935428619385
42,0.0038090646266937256
43,0.0038893818855285645
44,0.0039626359939575195
45,0.0040419697761535645
46,0.004142642021179199
47,0.004217863082885742
48,0.00429767370223999
49,0.00438690185546875
50,0.004461407661437988
51,0.0045423805713653564
52,0.004624873399734497
53,0.004707276821136475
54,0.004769474267959595
55,0.004845738410949707
56,0.004931598901748657
57,0.005011200904846191
58,0.005094379186630249
59,0.005171924829483032
60,0.005274415016174316
61,0.005337506532669067
62,0.005428194999694824
63,0.0071868896484375
64,0.007283002138137817
65,0.0074010491371154785
66,0.007660329341888428
67,0.007610678672790527
68,0.0077141523361206055
69,0.007815361022949219
70,0.007928997278213501
71,0.008279919624328613
72,0.008386015892028809
73,0.008482545614242554
74,0.008592873811721802
75,0.008689463138580322
76,0.00880444049835205
77,0.008921772241592407
78,0.009024888277053833
79,0.00912851095199585
80,0.009236812591552734
81,0.00933825969696045
82,0.009440779685974121
83,0.009542346000671387
84,0.00966346263885498
85,0.010122179985046387
86,0.009873628616333008
87,0.009980469942092896
88,0.010075688362121582
89,0.010182946920394897
90,0.010301560163497925
91,0.010408520698547363
92,0.010511159896850586
93,0.010609537363052368
94,0.010717898607254028
95,0.010813623666763306
96,0.01092568039894104
97,0.011024385690689087
98,0.01113671064376831
99,0.011324942111968994
100,0.0113392174243927
101,0.011454105377197266
102,0.011564314365386963
103,0.011670172214508057
104,0.011774778366088867
105,0.011882662773132324
106,0.011982113122940063
107,0.01207965612411499
108,0.012190908193588257
109,0.012304246425628662
110,0.012399435043334961
111,0.012500882148742676
112,0.012917101383209229
113,0.01272168755531311
114,0.012824177742004395
115,0.01293116807937622
116,0.013039976358413696
117,0.013149142265319824
118,0.013250201940536499
119,0.013358980417251587
120,0.01346522569656372
121,0.013804614543914795
122,0.013670116662979126
123,0.0137806236743927
124,0.013876348733901978
125,0.013964086771011353
126,0.014092683792114258
127,0.014200687408447266
128,0.014303088188171387
129,0.014403820037841797
130,0.014505892992019653
131,0.014615058898925781
132,0.01472589373588562
133,0.015309423208236694
134,0.014941185712814331
135,0.015051126480102539
136,0.015152722597122192
137,0.015256881713867188
138,0.015355497598648071
139,0.015465348958969116
140,0.015568435192108154
141,0.015657544136047363
142,0.01576325297355652
143,0.015886276960372925
144,0.015999287366867065
145,0.016105979681015015
146,0.01620575785636902
147,0.01631268858909607
148,0.016415566205978394
149,0.016526639461517334
150,0.016635477542877197
151,0.016745179891586304
152,0.01683884859085083
153,0.016948968172073364
154,0.01705116033554077
155,0.017162173986434937
156,0.017266690731048584
157,0.017349928617477417
158,0.01746290922164917
159,0.017561018466949463
160,0.017669677734375
161,0.017785578966140747
162,0.017875850200653076
163,0.017987489700317383
164,0.01808863878250122
165,0.01820230484008789
166,0.018312901258468628
167,0.018421411514282227
168,0.018542826175689697
169,0.018648535013198853
170,0.019048690795898438
171,0.018866002559661865
172,0.01896345615386963
173,0.01904281973838806
174,0.019159704446792603
175,0.01926523447036743
176,0.019364356994628906
177,0.019478201866149902
178,0.01959019899368286
179,0.019691109657287598
180,0.019798994064331055
181,0.01990792155265808
182,0.02001851797103882
183,0.020118921995162964
184,0.020235002040863037
185,0.02033141255378723
186,0.02045309543609619
187,0.020538806915283203
188,0.02098134160041809
189,0.02073189616203308
190,0.02083200216293335
191,0.020938754081726074
192,0.021747559309005737
193,0.021157771348953247
194,0.02125638723373413
195,0.02136439085006714
196,0.021472960710525513
197,0.021595686674118042
198,0.021704107522964478
199,0.02180236577987671
200,0.02190953493118286
201,0.02201905846595764
202,0.022109955549240112
203,0.02226024866104126
204,0.022366076707839966
205,0.022440075874328613
206,0.022549808025360107
207,0.02265310287475586
208,0.022758394479751587
209,0.02285224199295044
210,0.02296164631843567
211,0.02305924892425537
212,0.02317485213279724
213,0.023299872875213623
214,0.023393690586090088
215,0.023499727249145508
216,0.0236072838306427
217,0.023716211318969727
218,0.023811370134353638
219,0.023923128843307495
220,0.024033725261688232
221,0.02411028742790222
222,0.024217963218688965
223,0.024326831102371216
224,0.02442106604576111
225,0.024521559476852417
226,0.024633407592773438
227,0.024728208780288696
228,0.024834513664245605
229,0.02495482563972473
230,0.025072693824768066
231,0.025176256895065308
232,0.025284111499786377
233,0.025393038988113403
234,0.025493115186691284
235,0.025578588247299194
236,0.025682061910629272
237,0.02575698494911194
238,0.02586612105369568
239,0.025957882404327393
240,0.02606847882270813
241,0.026169955730438232
242,0.02627292275428772
243,0.026367366313934326
244,0.026479363441467285
245,0.026606976985931396
246,0.026705682277679443
247,0.026814699172973633
248,0.026916176080703735
249,0.027010589838027954
250,0.02709782123565674
