Batch_Size,Time_In_SECONDS
1,0.0004911422729492188
2,0.0004487931728363037
3,0.0005584359169006348
4,0.0006773173809051514
5,0.0008291304111480713
6,0.0009061694145202637
7,0.0010773241519927979
8,0.0011599063873291016
9,0.0012876689434051514
10,0.0014021992683410645
11,0.0015080273151397705
12,0.0016471147537231445
13,0.0017463862895965576
14,0.0018992722034454346
15,0.001992553472518921
16,0.002127915620803833
17,0.0022366344928741455
18,0.0023429393768310547
19,0.002494335174560547
20,0.0026051104068756104
21,0.0027640163898468018
22,0.0028314292430877686
23,0.002978712320327759
24,0.003090083599090576
25,0.0031985342502593994
26,0.0033728182315826416
27,0.003444492816925049
28,0.0036256611347198486
29,0.0039927661418914795
30,0.00412064790725708
31,0.004254728555679321
32,0.004338771104812622
33,0.0045451819896698
34,0.004542529582977295
35,0.004740029573440552
36,0.004896312952041626
37,0.005027800798416138
38,0.005174994468688965
39,0.005228579044342041
40,0.005418121814727783
41,0.005535095930099487
42,0.005693405866622925
43,0.0058026909828186035
44,0.0058744847774505615
45,0.006044566631317139
46,0.0061202943325042725
47,0.0062829554080963135
48,0.006401419639587402
49,0.006556004285812378
50,0.006666094064712524
51,0.006768226623535156
52,0.006951510906219482
53,0.006990909576416016
54,0.00720939040184021
55,0.007318258285522461
56,0.007464349269866943
57,0.007597386837005615
58,0.007663220167160034
59,0.007862210273742676
60,0.007895141839981079
61,0.008090883493423462
62,0.008237957954406738
63,0.008328557014465332
64,0.008464992046356201
65,0.008614331483840942
66,0.008778899908065796
67,0.008834987878799438
68,0.00899156928062439
69,0.009124159812927246
70,0.009246468544006348
71,0.009343177080154419
72,0.009481757879257202
73,0.00971248745918274
74,0.009746313095092773
75,0.0098952054977417
76,0.010036468505859375
77,0.010077178478240967
78,0.010248780250549316
79,0.010405480861663818
80,0.01056605577468872
81,0.010605454444885254
82,0.01076015830039978
83,0.01100468635559082
84,0.011017024517059326
85,0.011155247688293457
86,0.011289656162261963
87,0.011509835720062256
88,0.011526346206665039
89,0.011675506830215454
90,0.011868029832839966
91,0.01189473271369934
92,0.01203569769859314
93,0.012203186750411987
94,0.012356549501419067
95,0.012393206357955933
96,0.012589365243911743
97,0.01271173357963562
98,0.012792408466339111
99,0.013006061315536499
100,0.01312631368637085
101,0.013309568166732788
102,0.01341789960861206
103,0.013498425483703613
104,0.013658732175827026
105,0.013721376657485962
106,0.013857215642929077
107,0.013984471559524536
108,0.014084994792938232
109,0.014252066612243652
110,0.014439314603805542
111,0.014567464590072632
112,0.014644086360931396
113,0.01478588581085205
114,0.014901965856552124
115,0.014898687601089478
116,0.015125453472137451
117,0.015301436185836792
118,0.015451908111572266
119,0.015506595373153687
120,0.015715301036834717
121,0.015829622745513916
122,0.0159396231174469
123,0.015968024730682373
124,0.01620352268218994
125,0.01642662286758423
126,0.016434073448181152
127,0.016543686389923096
128,0.016709744930267334
129,0.016805529594421387
130,0.016925543546676636
131,0.017136037349700928
132,0.017249882221221924
133,0.01732519268989563
134,0.017533600330352783
135,0.017810672521591187
136,0.017750591039657593
137,0.0178377628326416
138,0.01793310046195984
139,0.018237680196762085
140,0.018200069665908813
141,0.018441319465637207
142,0.018554776906967163
143,0.018653899431228638
144,0.018737822771072388
145,0.018953531980514526
146,0.019026875495910645
147,0.019060403108596802
148,0.019293606281280518
149,0.01943930983543396
150,0.019518166780471802
151,0.01967388391494751
152,0.019841760396957397
153,0.019994288682937622
154,0.020067334175109863
155,0.020218610763549805
156,0.02034422755241394
157,0.02043163776397705
158,0.020555973052978516
159,0.020746499300003052
160,0.020771175622940063
161,0.02091190218925476
162,0.021138131618499756
163,0.02130645513534546
164,0.021361470222473145
165,0.021455496549606323
166,0.02165299654006958
167,0.021786779165267944
168,0.021821945905685425
169,0.02198442816734314
170,0.02214643359184265
171,0.022249996662139893
172,0.022415727376937866
173,0.022393375635147095
174,0.022530049085617065
175,0.022746562957763672
176,0.022991329431533813
177,0.023054152727127075
178,0.023129820823669434
179,0.023262828588485718
180,0.023410111665725708
181,0.02352157235145569
182,0.023564517498016357
183,0.023849189281463623
184,0.02402135729789734
185,0.024033933877944946
186,0.024338990449905396
187,0.024327337741851807
188,0.024497300386428833
189,0.02453702688217163
190,0.02472388744354248
191,0.024941205978393555
192,0.02479344606399536
193,0.025177329778671265
194,0.025198280811309814
195,0.025367170572280884
196,0.02539554238319397
197,0.02560722827911377
198,0.025721490383148193
199,0.025805532932281494
200,0.026004433631896973
201,0.02619767189025879
202,0.02633422613143921
203,0.026294410228729248
204,0.02649456262588501
205,0.026623785495758057
206,0.026671886444091797
207,0.02692270278930664
208,0.02702394127845764
209,0.027113288640975952
210,0.027219414710998535
211,0.027421563863754272
212,0.02753692865371704
213,0.027602940797805786
214,0.02777877449989319
215,0.027912288904190063
216,0.028032660484313965
217,0.02812632918357849
218,0.028268516063690186
219,0.02846929430961609
220,0.028359323740005493
221,0.028672873973846436
222,0.02863427996635437
223,0.02887260913848877
224,0.029011249542236328
225,0.029158681631088257
226,0.029278278350830078
227,0.029360920190811157
228,0.02955511212348938
229,0.029727905988693237
230,0.029784411191940308
231,0.029861927032470703
232,0.029942959547042847
233,0.030237168073654175
234,0.030205070972442627
235,0.03034687042236328
236,0.03056284785270691
237,0.03049999475479126
238,0.0307483971118927
239,0.03092014789581299
240,0.031080275774002075
241,0.031101912260055542
242,0.03128799796104431
243,0.03146469593048096
244,0.03152427077293396
245,0.03162103891372681
246,0.03177887201309204
247,0.03208020329475403
248,0.03188556432723999
249,0.032195597887039185
250,0.03237840533256531
