gpu_time
0.0635
0.0613
0.0587
0.0601
0.0561
0.0557
0.0556
0.0556
0.0557
0.0556
0.0555
0.0554
0.0556
0.0553
0.0554
0.0553
0.0555
0.0553
0.0552
0.0553
0.0555
0.0553
0.0555
0.0553
0.0553
0.0552
0.0554
0.0554
0.0557
0.0556
0.0554
0.0553
0.0554
0.0555
0.0553
0.0555
0.0560
0.0554
0.0554
0.0555
0.0554
0.0554
0.0554
0.0556
0.0554
0.0554
0.0553
0.0553
0.0554
0.0553
0.0554
0.0555
0.0553
0.0553
0.0553
0.0553
0.0554
0.0552
0.0552
0.0554
0.0555
0.0553
0.0553
0.0553
0.0554
0.0553
0.0553
0.0552
0.0554
0.0552
0.0552
0.0553
0.0555
0.0555
0.0554
0.0554
0.0556
0.0553
0.0554
0.0555
0.0554
0.0553
0.0554
0.0553
0.0556
0.0553
0.0553
0.0554
0.0555
0.0553
0.0553
0.0555
0.0554
0.0553
0.0553
0.0554
0.0555
0.0553
0.0553
0.0554
0.0564
0.0553
0.0553
0.0553
0.0556
0.0553
0.0553
0.0553
0.0562
0.0554
0.0553
0.0553
0.0562
0.0553
0.0553
0.0553
0.0561
0.0553
0.0553
0.0588
0.0556
0.0553
0.0569
0.0554
0.0556
0.0553
0.0554
0.0563
0.0553
0.0554
0.0554
0.0554
0.0555
0.0553
0.0553
0.0557
0.0554
0.0553
0.0553
0.0556
0.0555
0.0555
0.0553
0.0555
0.0552
0.0554
0.0529
