Batch_Size,Time_In_SECONDS
1,0.00019118189811706543
2,0.0002778172492980957
3,0.00032836198806762695
4,0.0003808438777923584
5,0.0004302561283111572
6,0.0004818439483642578
7,0.0005342662334442139
8,0.0005827248096466064
9,0.0006349086761474609
10,0.0006842911243438721
11,0.0007416605949401855
12,0.0007863938808441162
13,0.0008368492126464844
14,0.0008886456489562988
15,0.0009379386901855469
16,0.000994175672531128
17,0.0010439753532409668
18,0.0010921955108642578
19,0.0011380314826965332
20,0.001423656940460205
21,0.0014771521091461182
22,0.00152665376663208
23,0.0015803873538970947
24,0.0016283988952636719
25,0.0016895532608032227
26,0.0017418861389160156
27,0.0018007755279541016
28,0.001853853464126587
29,0.0019060969352722168
30,0.001955866813659668
31,0.0020107924938201904
32,0.00206640362739563
33,0.002118021249771118
34,0.0021737217903137207
35,0.002233177423477173
36,0.0022833943367004395
37,0.0023371875286102295
38,0.002387136220932007
39,0.0024521946907043457
40,0.002508312463760376
41,0.0025668740272521973
42,0.0026430487632751465
43,0.0026975274085998535
44,0.002778679132461548
45,0.002861112356185913
46,0.0029277503490448
47,0.0030182600021362305
48,0.0031057000160217285
49,0.003191441297531128
50,0.0032730400562286377
51,0.003369450569152832
52,0.0034494400024414062
53,0.003549933433532715
54,0.0036350786685943604
55,0.003716766834259033
56,0.0038170218467712402
57,0.003893554210662842
58,0.003985762596130371
59,0.005624860525131226
60,0.0057482123374938965
61,0.005863964557647705
62,0.0059788525104522705
63,0.006099820137023926
64,0.006608307361602783
65,0.006323128938674927
66,0.00641864538192749
67,0.0065444111824035645
68,0.00666007399559021
69,0.006774187088012695
70,0.006874263286590576
71,0.006975650787353516
72,0.007077395915985107
73,0.0071877241134643555
74,0.007299482822418213
75,0.007397711277008057
76,0.007480263710021973
77,0.007608145475387573
78,0.007673889398574829
79,0.0078047215938568115
80,0.007892102003097534
81,0.007998257875442505
82,0.0080949068069458
83,0.008183777332305908
84,0.008280128240585327
85,0.008399248123168945
86,0.00847586989402771
87,0.00895148515701294
88,0.008672386407852173
89,0.008779525756835938
90,0.00885838270187378
91,0.008983880281448364
92,0.0090445876121521
93,0.009160071611404419
94,0.009257793426513672
95,0.00935065746307373
96,0.009436458349227905
97,0.009531944990158081
98,0.009635895490646362
99,0.009728044271469116
100,0.00981992483139038
101,0.009933561086654663
102,0.010004878044128418
103,0.010098010301589966
104,0.01020011305809021
105,0.010300099849700928
106,0.010395407676696777
107,0.010482341051101685
108,0.010598927736282349
109,0.010663419961929321
110,0.010765641927719116
111,0.01084291934967041
112,0.01098179817199707
113,0.011056602001190186
114,0.01115351915359497
115,0.011255145072937012
116,0.01131024956703186
117,0.01142778992652893
118,0.011497825384140015
119,0.011636674404144287
120,0.011700302362442017
121,0.011798113584518433
122,0.011877954006195068
123,0.011976927518844604
124,0.012053132057189941
125,0.011953979730606079
126,0.012015700340270996
127,0.01211315393447876
128,0.012194156646728516
129,0.012293905019760132
130,0.012391328811645508
131,0.012471258640289307
132,0.012566238641738892
133,0.012644708156585693
134,0.01274380087852478
135,0.01281195878982544
136,0.012943565845489502
137,0.013004541397094727
138,0.013117164373397827
139,0.013179779052734375
140,0.013302981853485107
141,0.013354688882827759
142,0.013448476791381836
143,0.013527095317840576
144,0.013636171817779541
145,0.013708680868148804
146,0.01381230354309082
147,0.013875991106033325
148,0.013981014490127563
149,0.014052927494049072
150,0.014168858528137207
151,0.014252334833145142
152,0.014355719089508057
153,0.014405369758605957
154,0.014503240585327148
155,0.014574438333511353
156,0.014675647020339966
157,0.014760255813598633
158,0.014853864908218384
159,0.014941513538360596
160,0.015048056840896606
161,0.015105903148651123
162,0.015219271183013916
163,0.015286087989807129
164,0.015398263931274414
165,0.015465110540390015
166,0.015581607818603516
167,0.015646010637283325
168,0.01575160026550293
169,0.01581275463104248
170,0.015915244817733765
171,0.015995115041732788
172,0.016092926263809204
173,0.0161859393119812
174,0.016250789165496826
175,0.01636996865272522
176,0.01760450005531311
177,0.01655450463294983
178,0.017028719186782837
179,0.016738682985305786
180,0.016807645559310913
181,0.016917824745178223
182,0.01837080717086792
183,0.017082184553146362
184,0.01771053671836853
185,0.017236322164535522
186,0.017334282398223877
187,0.017415225505828857
188,0.01751619577407837
189,0.017592161893844604
190,0.017683416604995728
191,0.017750859260559082
192,0.017883628606796265
193,0.017936140298843384
194,0.018041759729385376
195,0.018121540546417236
196,0.019969820976257324
197,0.018507272005081177
198,0.018386542797088623
199,0.018479764461517334
200,0.018567830324172974
201,0.018643051385879517
202,0.018764346837997437
203,0.01880452036857605
204,0.018914073705673218
205,0.01899099349975586
206,0.01911112666130066
207,0.019177526235580444
208,0.019289612770080566
209,0.019336044788360596
210,0.019438117742538452
211,0.019489407539367676
212,0.019632160663604736
213,0.019698649644851685
214,0.01979997754096985
215,0.01985079050064087
216,0.019965320825576782
217,0.020035088062286377
218,0.02014482021331787
219,0.02019047737121582
220,0.02033156156539917
221,0.020379960536956787
222,0.020496129989624023
223,0.020603924989700317
224,0.020673006772994995
225,0.020784765481948853
226,0.020876258611679077
227,0.02094477415084839
228,0.02103772759437561
229,0.021084487438201904
230,0.021230071783065796
231,0.02128159999847412
232,0.021403521299362183
233,0.021440744400024414
234,0.021573811769485474
235,0.02163425087928772
236,0.021709561347961426
237,0.02176535129547119
238,0.021900177001953125
239,0.02197784185409546
240,0.02204984426498413
241,0.022173970937728882
242,0.022211134433746338
243,0.022335350513458252
244,0.022406429052352905
245,0.022497057914733887
246,0.022556573152542114
247,0.02265608310699463
248,0.022731155157089233
