Batch_Size,Time_In_SECONDS
1,0.02452227473258972
2,0.025116652250289917
3,0.024466872215270996
4,0.024688780307769775
5,0.02479061484336853
6,0.02642214298248291
7,0.027753472328186035
8,0.038358598947525024
9,0.041822850704193115
10,0.04505795240402222
11,0.0480959415435791
12,0.050787538290023804
13,0.05378887057304382
14,0.05711016058921814
15,0.06083771586418152
16,0.06378835439682007
17,0.07963234186172485
18,0.08346033096313477
19,0.08744952082633972
20,0.09128117561340332
21,0.09540432691574097
22,0.09922847151756287
23,0.10305541753768921
24,0.1063600480556488
25,0.11015009880065918
26,0.11377376317977905
27,0.11849001049995422
28,0.12217158079147339
29,0.12613165378570557
30,0.13039684295654297
31,0.13408920168876648
32,0.13783928751945496
33,0.14239710569381714
34,0.14657488465309143
35,0.15027493238449097
36,0.15477454662322998
37,0.15730020403862
38,0.1610965132713318
39,0.16506898403167725
40,0.16943559050559998
41,0.1736707091331482
42,0.17763525247573853
43,0.18135222792625427
44,0.18530791997909546
45,0.18912842869758606
46,0.19461828470230103
47,0.19816192984580994
48,0.20232921838760376
49,0.20836254954338074
50,0.2123970091342926
51,0.21625015139579773
52,0.21942287683486938
53,0.22340261936187744
54,0.22664880752563477
55,0.23199686408042908
56,0.2348727285861969
57,0.23883184790611267
58,0.24371004104614258
59,0.2562318742275238
60,0.26049238443374634
61,0.2647082209587097
62,0.2684352397918701
63,0.2728196978569031
64,0.2774122357368469
65,0.28268057107925415
66,0.28864264488220215
67,0.2940792441368103
68,0.29888373613357544
69,0.30351722240448
70,0.30733826756477356
71,0.3114074468612671
72,0.31609106063842773
73,0.32093194127082825
74,0.32527753710746765
75,0.328665167093277
76,0.3328996002674103
77,0.3374347686767578
78,0.34135761857032776
79,0.34586063027381897
80,0.34992876648902893
81,0.354785680770874
82,0.35847944021224976
83,0.3617236316204071
84,0.36674749851226807
85,0.37098628282546997
86,0.37507280707359314
87,0.37871259450912476
88,0.38371744751930237
89,0.38792017102241516
90,0.39225682616233826
91,0.3955657482147217
92,0.3996763825416565
93,0.4037698209285736
94,0.40877464413642883
95,0.41316282749176025
96,0.4161410629749298
97,0.4177083373069763
98,0.4222707450389862
99,0.42520204186439514
100,0.4289422333240509
101,0.43354150652885437
102,0.43795692920684814
103,0.4421160817146301
104,0.4458814859390259
105,0.45057907700538635
106,0.4544283151626587
107,0.45817190408706665
108,0.46229326725006104
109,0.46661320328712463
110,0.4710695743560791
111,0.4749220609664917
112,0.4791511595249176
113,0.4839617908000946
114,0.4875515401363373
115,0.491670697927475
116,0.4963676631450653
117,0.4994651973247528
118,0.5042902529239655
119,0.5083045065402985
120,0.5124112069606781
121,0.5181306898593903
122,0.5208772718906403
123,0.5256669223308563
124,0.5297181904315948
125,0.5335054695606232
126,0.538400799036026
127,0.5420306324958801
128,0.5458891987800598
129,0.5510729551315308
130,0.5543884336948395
131,0.5594647228717804
132,0.5627422332763672
133,0.5681429207324982
134,0.5717383921146393
135,0.5763024687767029
136,0.5799249112606049
137,0.5840015709400177
138,0.5904019176959991
139,0.5934063494205475
140,0.5974930822849274
141,0.3900088667869568
142,0.3924066424369812
143,0.39616453647613525
144,0.3988865613937378
145,0.37805113196372986
146,0.37963414192199707
147,0.38346269726753235
148,0.3853226602077484
149,0.38960739970207214
150,0.392079621553421
151,0.3935857117176056
152,0.39705923199653625
153,0.40002042055130005
154,0.40252789855003357
155,0.40451574325561523
156,0.40765580534935
157,0.41032329201698303
158,0.4135768413543701
159,0.41560420393943787
160,0.4189307689666748
161,0.4216170012950897
