0	0
1	0.0083
2	0.009
3	0.0095
4	0.0103
5	0.011
6	0.0118
7	0.0131
8	0.0137
9	0.0146
10	0.0155
11	0.0164
12	0.0169
13	0.0187
14	0.019
15	0.0205
16	0.0196
17	0.0214
18	0.0224
19	0.023
20	0.0233
21	0.0247
22	0.025
23	0.0263
24	0.0267
25	0.0272
26	0.0283
27	0.0291
28	0.031
29	0.0314
30	0.0318
31	0.0313
32	0.0333
64	0.0577
128	0.1056
256	0.2044
