batch_size,peak,persistent
1.0,298.7556795740518,256.7159561776999
2.0,329.56172076959797,257.26537780761896
3.0,360.3682630956195,257.81495713306253
4.0,391.17530655211647,258.3646941540306
5.0,421.9828511390888,258.9145888705231
6.0,452.79089685653645,259.4646412825402
7.0,483.59944370445953,260.01485139008173
8.0,514.408491682858,260.56521919314775
9.0,545.2180407917318,261.1157446917383
10.0,576.028091031081,261.66642788585335
11.0,606.8386424009057,262.2172687754929
12.0,637.6496949012055,262.768267360657
13.0,668.461248531981,263.3194236413455
14.0,699.2733032932317,263.8707376175585
15.0,730.0858591849578,264.42220928929606
16.0,762.1005859375,265.78564453125
17.0,791.7124743598362,265.52562571934465
18.0,822.5265336429884,266.0775704776557
19.0,853.341094056616,266.6296729314912
20.0,884.156155600719,267.18193308085125
21.0,914.9717182752973,267.7343509257358
22.0,945.7877820803512,268.2869264661448
23.0,976.6043470158803,268.83965970207834
24.0,1007.4214130818848,269.39255063353636
25.0,1038.2389802783648,269.94559926051886
26.0,1069.05704860532,270.4988055830259
27.0,1099.8756180627506,271.0521696010574
28.0,1130.6946886506566,271.60569131461347
29.0,1161.514260369038,272.159370723694
30.0,1192.334333217895,272.713207828299
31.0,1223.1549071972272,273.2672026284285
32.0,1254.08349609375,275.7060546875
33.0,1284.7975585473175,274.3756653152611
34.0,1315.619635918076,274.93013320196405
35.0,1346.4422144193097,275.48475878419157
36.0,1377.2652940510186,276.03954206194356
37.0,1408.0888748132031,276.5944830352201
38.0,1438.912956705863,277.1495817040211
39.0,1469.7375397289982,277.7048380683466
40.0,1500.5626238826087,278.2602521281966
41.0,1531.3882091666949,278.8158238835711
42.0,1562.214295581256,279.37155333447015
43.0,1593.0408831262928,279.9274404808936
44.0,1623.867971801805,280.48348532284166
45.0,1654.6955616077923,281.03968786031413
46.0,1685.5236525442554,281.59604809331114
47.0,1716.3522446111938,282.1525660218326
48.0,1743.69140625,280.43896484375
49.0,1778.0109321364962,283.26607496544915
50.0,1808.8410275948606,283.82306598054413
51.0,1839.6716241837003,284.3802146911636
52.0,1870.5027219030155,284.9375210973076
53.0,1901.3343207528062,285.4949851989761
54.0,1932.1664207330718,286.05260699616906
55.0,1962.9990218438134,286.61038648888655
56.0,1993.83212408503,287.16832367712857
57.0,2024.665727456722,287.72641856089507
58.0,2055.4998319588894,288.28467114018605
59.0,2086.334437591532,288.8430814150015
60.0,2117.1695443546505,289.4016493853415
61.0,2148.005152248244,289.960375051206
62.0,2178.841261272313,290.519258412595
63.0,2209.677871426857,291.07829946950847
64.0,2241.87744140625,289.3125
65.0,2271.3525951273723,292.1968546699089
66.0,2302.1907086733427,292.75636881339585
67.0,2333.0293233497882,293.3160406524073
68.0,2363.8684391567094,293.8758701869433
69.0,2394.7080560941063,294.4358574170038
70.0,2425.5481741619783,294.9960023425887
71.0,2456.388793360325,295.5563049636982
72.0,2487.229913689148,296.1167652803322
73.0,2518.0715351484464,296.6773832924906
74.0,2548.9136577382196,297.2381590001736
75.0,2579.756281458469,297.79909240338105
76.0,2610.599406309193,298.36018350211305
77.0,2641.4430322903922,298.9214322963695
78.0,2672.2871594020676,299.48283878615047
79.0,2703.131787644218,300.0444029714559
80.0,2737.62646484375,299.7802734375
81.0,2764.822547519945,301.1680044286403
82.0,2795.6686791535217,301.7300417005193
83.0,2826.515311917573,302.29223666792274
84.0,2857.3624458121003,302.8545893308507
85.0,2888.2100808371033,303.41709968930314
86.0,2919.0582169925815,303.9797677432801
87.0,2949.906854278535,304.5425934927815
